Company,No of weeks,Week,Q1,Q2,Q3,Q4
SEAPEARL,8,"[4, 26, 28, 32, 37, 38, 39, 42]",1,1,5,1
SEMLFBSLGF,1,[7],1,0,0,0
SEMLIBBLSF,2,"[12, 14]",2,0,0,0
SEMLLECMF,2,"[12, 22]",1,1,0,0
SHAHJABANK,0,[],0,0,0,0
SHASHADNIM,4,"[4, 11, 13, 23]",3,1,0,0
SHEPHERD,4,"[4, 14, 23, 32]",2,1,1,0
SHURWID,5,"[2, 9, 10, 12, 25]",4,1,0,0
SHYAMPSUG,3,"[7, 10, 28]",2,0,1,0
SIBL,0,[],0,0,0,0
SILCOPHL,6,"[4, 6, 12, 22, 23, 42]",3,2,0,1
SILVAPHL,3,"[9, 12, 25]",2,1,0,0
SIMTEX,3,"[4, 27, 32]",1,1,1,0
SINGERBD,2,"[13, 14]",2,0,0,0
SINOBANGLA,3,"[33, 34, 35]",0,0,3,0
SKICL,1,[23],0,1,0,0
SKTRIMS,3,"[2, 23, 27]",1,2,0,0
SONALIANSH,8,"[8, 12, 23, 34, 37, 38, 42, 43]",2,1,3,2
SONALILIFE,2,"[2, 34]",1,0,1,0
SONALIPAPR,9,"[13, 14, 22, 27, 28, 32, 33, 35, 42]",2,2,4,1
SONARBAINS,4,"[14, 23, 24, 31]",1,2,1,0
SONARGAON,11,"[4, 5, 11, 12, 20, 23, 26, 27, 28, 32, 34]",4,4,3,0
SOUTHEASTB,1,[24],0,1,0,0
SPCERAMICS,4,"[20, 24, 25, 40]",0,3,1,0
SPCL,3,"[27, 36, 39]",0,1,2,0
SQUARETEXT,5,"[5, 18, 22, 31, 34]",1,2,2,0
SQURPHARMA,4,"[3, 6, 23, 32]",2,1,1,0
SSSTEEL,1,[4],1,0,0,0
STANCERAM,3,"[23, 28, 35]",0,1,2,0
STANDARINS,1,[2],1,0,0,0
STANDBANKL,1,[23],0,1,0,0
STYLECRAFT,2,"[8, 14]",2,0,0,0
SUMITPOWER,1,[7],1,0,0,0
SUNLIFEINS,9,"[2, 6, 10, 20, 23, 28, 32, 34, 43]",3,2,3,1
TAKAFULINS,5,"[5, 7, 10, 23, 35]",3,1,1,0
TALLUSPIN,1,[3],1,0,0,0
TAMIJTEX,7,"[4, 7, 8, 23, 32, 35, 41]",3,1,2,1
TITASGAS,4,"[3, 7, 26, 41]",2,1,0,1
TOSRIFA,6,"[2, 7, 24, 25, 27, 32]",2,3,1,0
TRUSTB1MF,0,[],0,0,0,0
TRUSTBANK,3,"[18, 20, 23]",0,3,0,0
TUNGHAI,0,[],0,0,0,0
UCB,0,[],0,0,0,0
UNILEVERCL,4,"[18, 23, 36, 38]",0,2,2,0
UNIONBANK,1,[32],0,0,1,0
UNIONCAP,3,"[32, 35, 38]",0,0,3,0
UNIONINS,4,"[4, 5, 6, 7]",4,0,0,0
UNIQUEHRL,5,"[4, 7, 12, 18, 36]",3,1,1,0
UNITEDFIN,1,[34],0,0,1,0
UNITEDINS,3,"[14, 18, 31]",1,1,1,0
UPGDCL,3,"[2, 6, 39]",2,0,1,0
USMANIAGL,5,"[2, 3, 23, 29, 37]",2,1,2,0
UTTARABANK,1,[12],1,0,0,0
UTTARAFIN,1,[7],1,0,0,0
VAMLBDMF1,0,[],0,0,0,0
VAMLRBBF,3,"[12, 25, 31]",1,1,1,0
VFSTDL,3,"[2, 12, 22]",2,1,0,0
WALTONHIL,4,"[8, 18, 27, 32]",1,2,1,0
WATACHEM,5,"[3, 23, 32, 35, 41]",1,1,2,1
WMSHIPYARD,2,"[2, 23]",1,1,0,0
YPL,7,"[2, 5, 6, 7, 25, 27, 35]",4,2,1,0
ZAHEENSPIN,4,"[9, 13, 22, 28]",2,1,1,0
ZAHINTEX,1,[2],1,0,0,0
ZEALBANGLA,2,"[7, 10]",2,0,0,0
